song,album,prev,lyric,next
The Hammer Song,Kicking Against The Pricks,,“Don’t let the sun go down”,Said the man with the fire
The Hammer Song,Kicking Against The Pricks,“Don’t let the sun go down”,Said the man with the fire,Firing the furnace
The Hammer Song,Kicking Against The Pricks,Said the man with the fire,Firing the furnace,“I’ve been buried in the snow
The Hammer Song,Kicking Against The Pricks,Firing the furnace,“I’ve been buried in the snow,And I keep on firing
The Hammer Song,Kicking Against The Pricks,“I’ve been buried in the snow,And I keep on firing,Keep on firing
The Hammer Song,Kicking Against The Pricks,And I keep on firing,Keep on firing,Keep on firing
The Hammer Song,Kicking Against The Pricks,Keep on firing,Keep on firing,Firing the furnace.”
The Hammer Song,Kicking Against The Pricks,Keep on firing,Firing the furnace.”,
The Hammer Song,Kicking Against The Pricks,Firing the furnace.”,,“Don’t talk to me”
The Hammer Song,Kicking Against The Pricks,,“Don’t talk to me”,Said the man with the chisel
The Hammer Song,Kicking Against The Pricks,“Don’t talk to me”,Said the man with the chisel,Chiseling the surface
